driverId,week,hours-logged,miles-logged
54,33,52,3900
94,43,71,2700
21,51,68,1500
48,49,51,3300
30,3,80,3400
58,26,72,500
35,35,51,100
71,31,59,1800
40,48,75,800
63,16,80,900
22,44,53,3100
37,17,74,2200
54,50,62,500
32,25,79,1700
57,38,56,2500
89,20,51,800
27,20,79,300
22,10,63,3300
84,16,62,2300
54,37,57,300
100,21,71,2300
23,15,79,2400
27,11,64,3300
83,43,76,1400
107,15,67,300
11,45,73,4000
84,3,51,3100
63,13,53,1900
99,48,51,3500
16,28,54,3700
96,50,58,3800
83,21,55,200
83,38,67,2100
14,14,79,3300
82,25,71,800
42,15,74,3400
10,24,71,3000
81,47,59,4000
80,46,67,800
29,49,76,1300
43,3,80,2000
49,43,77,2700
77,21,53,1200
18,45,70,2100
66,43,53,1000
59,52,64,3100
88,8,80,1100
13,29,63,1300
75,50,62,300
75,22,51,1800
97,12,62,3900
19,13,70,1600
83,33,62,1600
49,25,58,3400
19,22,53,2100
76,33,74,3400
81,48,76,2200
82,48,68,3700
25,13,70,4000
16,35,51,3500
61,4,76,200
97,29,71,1000
57,13,57,3100
109,4,74,3000
83,52,64,2700
58,16,58,3400
85,5,72,300
60,40,77,900
86,31,57,1700
75,37,53,2500
92,31,73,3700
89,3,65,3000
56,31,61,2400
89,5,63,900
58,7,74,1200
64,45,60,1600
11,31,61,1300
71,11,74,2300
108,11,60,3600
19,7,53,3900
107,8,65,3300
35,43,76,800
41,39,64,3100
107,46,57,100
82,42,55,3700
29,48,62,2400
84,33,72,2400
108,14,66,2400
52,15,75,2800
26,8,76,700
28,46,67,1700
91,22,54,3700
97,36,76,2900
15,28,66,700
66,2,60,2600
64,47,55,2600
61,48,59,2100
108,27,50,1300
35,5,70,0
34,46,75,2600
77,36,58,3900
70,1,71,2900
105,9,58,1600
38,11,73,3500
100,34,76,3600
32,7,61,3100
108,51,52,1700
80,21,76,500
35,4,50,1700
89,48,72,3300
24,15,63,2500
97,24,70,100
100,11,77,2300
11,42,52,3900
83,44,60,500
71,11,62,3300
58,37,77,2300
68,29,71,700
72,15,52,3400
102,9,64,1300
45,30,70,1400
23,35,62,2600
47,21,70,1800
18,11,57,2600
85,1,75,200
91,34,61,3600
82,21,55,900
54,50,80,2400
74,50,59,1000
88,24,55,1600
24,39,64,4000
12,44,74,2100
105,49,57,2700
49,5,62,2900
42,25,61,1200
72,41,57,1900
85,39,60,300
75,22,67,200
107,41,63,3700
28,5,77,3200
32,8,65,1200
72,29,68,800
68,19,65,700
44,1,62,0
78,6,60,1800
95,14,59,3000
42,48,78,300
19,24,57,2100
29,51,73,2100
102,47,71,200
39,3,67,2400
19,6,73,3500
105,36,69,2300
28,10,65,1800
13,26,58,2700
89,8,74,1300
53,5,80,3700
91,52,50,2200
79,8,68,800
52,12,59,3500
102,37,53,1400
99,17,70,1000
15,20,75,4000
79,50,70,3000
14,52,54,1100
86,9,61,4000
42,36,71,3700
80,42,76,3400
11,50,79,1000
107,48,71,3200
99,5,57,3000
50,15,67,4000
19,50,60,3800
51,34,60,300
88,29,73,3100
63,45,54,800
59,2,65,3500
51,16,74,2100
76,14,60,2000
76,42,58,4000
53,7,76,3200
40,48,79,1900
92,29,76,1500
53,37,67,700
91,12,62,2100
102,29,55,900
63,51,65,700
83,28,51,1200
95,23,63,2600
10,26,53,2500
64,34,60,700
88,25,71,2800
109,35,62,2100
101,18,79,400
29,15,55,400
19,14,65,1900
29,21,78,1700
31,10,55,500
54,49,67,3200
107,50,56,800
46,20,59,1200
69,5,56,3800
23,26,80,2100
28,5,77,1600
43,49,76,0
49,40,53,3300
60,19,64,1400
86,16,50,900
53,6,56,2600
11,50,57,3700
52,14,66,1100
81,22,60,1500
62,35,65,1100
41,41,78,3800
103,23,68,1900
106,25,74,800
65,49,80,3500
73,7,62,1200
54,2,63,1200
98,15,70,200
45,19,63,1200
73,49,76,1400
83,28,57,1100
21,29,75,3100
41,41,54,2400
106,22,77,3400
82,10,56,1900
85,33,60,3300
98,13,56,2800
56,18,64,2000
109,13,56,1400
87,12,60,3500
96,49,55,2000
68,35,57,2000
49,28,67,4000
83,43,55,2600
67,38,61,1700
66,51,71,900
82,37,58,3100
80,15,60,2100
68,29,60,3500
61,30,52,200
67,6,51,300
48,49,74,900
109,17,67,2800
76,31,63,3400
81,41,65,2600
28,41,78,3200
40,48,51,200
11,28,58,3700
89,24,78,2300
97,3,76,1400
45,16,60,2000
66,17,54,3500
37,28,51,3700
105,44,62,1600
83,47,68,3500
86,36,66,2900
67,23,62,3700
93,29,53,1400
17,16,51,400
13,33,78,3900
66,52,63,4000
58,6,74,2200
13,5,74,1700
30,18,78,2700
53,7,53,2500
30,5,67,600
97,14,68,2100
107,36,80,1500
13,28,59,800
87,31,59,900
76,4,65,1800
73,43,57,1400
82,49,61,2500
63,41,51,500
56,37,69,600
27,19,55,3800
48,6,60,2900
73,31,61,1900
36,30,57,2100
30,23,70,500
46,25,60,1300
25,7,79,3800
29,14,64,1100
76,4,66,1100
26,46,69,3100
93,6,72,1500
78,19,68,3700
103,39,50,3600
41,17,59,900
16,50,75,2700
17,16,71,700
64,8,56,1800
19,28,54,700
23,51,60,400
54,6,51,3900
18,27,51,600
73,32,78,2200
69,4,75,1400
49,16,67,3300
103,19,50,2600
12,41,80,3300
20,18,53,600
70,38,53,1600
83,10,55,200
54,37,51,3100
26,37,54,3600
39,25,62,3800
73,8,77,700
39,19,61,3600
16,32,51,900
37,49,53,800
96,9,79,1400
107,13,61,2200
75,51,68,2800
79,14,67,300
14,27,62,1800
19,30,70,2500
46,2,79,500
94,27,60,900
68,38,64,2000
17,1,64,1400
80,10,61,900
55,39,52,400
61,5,60,4000
48,42,76,2900
106,2,53,1200
42,7,59,900
101,10,80,1000
38,5,74,2100
70,8,68,1500
62,37,78,3200
40,33,63,2300
16,15,68,200
103,45,55,2000
42,40,62,2800
18,10,80,700
87,31,73,800
45,1,62,2400
97,16,52,3400
59,44,52,3900
25,43,66,4000
30,38,64,1500
97,17,76,3700
65,44,62,3700
63,7,61,1300
49,51,62,3100
11,27,54,3200
53,45,53,3400
13,45,58,1700
56,45,75,800
45,35,53,1100
62,45,70,100
59,22,56,3100
83,37,64,2600
56,44,79,1200
33,24,55,3400
54,2,77,1400
34,7,63,3600
75,6,53,4000
80,23,55,2500
103,27,53,900
84,26,62,2500
61,15,77,1300
93,43,66,1200
51,20,54,3700
96,28,51,3200
10,34,70,1300
88,14,57,3300
70,1,79,1300
39,33,58,1300
86,21,64,0
70,48,50,1900
103,51,61,2800
69,27,76,1500
11,44,70,1200
46,2,70,1700
51,41,79,2600
65,3,50,400
100,41,51,0
97,36,65,3900
49,12,53,2700
101,7,68,2800
47,47,57,2400
31,24,70,3800
91,23,52,500
43,7,75,2300
107,13,64,1000
19,36,67,2300
99,25,75,2800
78,24,73,700
77,30,50,1000
31,8,57,3200
23,14,69,3800
26,18,72,1500
68,30,74,3800
65,20,70,3100
99,4,59,600
35,20,51,2700
58,36,54,500
67,50,77,3900
47,35,52,3700
75,39,61,1100
57,33,67,2200
29,37,79,200
15,7,53,3300
90,6,68,1200
109,27,78,1200
99,22,50,3000
45,10,50,800
11,16,73,200
75,34,76,1900
84,35,58,600
28,44,60,0
34,27,75,600
13,49,73,2300
51,19,66,500
77,30,61,100
68,3,76,2500
71,34,66,800
28,10,68,2300
57,47,75,2200
96,15,58,2600
53,14,72,2700
25,13,65,3700
66,41,79,3800
64,48,70,3700
81,44,79,1900
77,2,58,3400
107,3,77,500
22,32,80,3900
83,46,55,500
83,13,79,3100
96,4,50,3200
10,20,76,2400
89,43,77,800
104,2,57,4000
95,43,73,1800
17,42,73,2300
80,21,62,2900
74,52,78,1500
105,52,61,2000
49,2,52,2600
72,15,53,900
93,11,71,800
68,10,56,700
41,29,64,800
74,47,78,3800
77,18,57,500
52,4,77,600
28,2,58,1600
18,42,80,3000
73,32,70,2300
19,26,77,100
71,35,68,2200
23,12,77,1300
10,37,59,1000
105,45,57,800
106,36,71,2900
103,46,58,1600
96,24,59,2600
38,37,76,3800
89,6,74,2800
49,39,65,3500
47,20,76,2400
29,20,61,3000
39,11,67,1600
82,45,67,2400
42,49,64,1200
83,26,64,2800
44,50,51,1400
109,7,55,2700
95,43,74,1900
30,44,65,1700
60,21,54,3900
61,44,67,600
77,14,63,600
67,28,54,1300
105,41,61,900
99,39,76,4000
59,23,54,1300
79,22,59,700
70,49,62,500
25,35,78,2700
82,49,61,1400
58,39,67,3000
68,27,50,1800
107,17,66,3100
31,9,52,1800
88,5,51,1000
66,26,65,2300
68,47,74,3000
15,51,58,3200
91,36,60,2300
14,27,60,3800
82,34,71,3700
47,25,57,3700
37,35,56,2900
106,47,50,3100
44,18,74,1900
42,34,56,2000
41,9,69,100
86,26,54,1300
100,11,56,1800
43,36,68,1900
62,1,70,1500
99,13,71,2400
106,13,71,2300
98,48,79,3800
47,30,60,2900
12,48,66,1300
35,21,73,2600
103,32,70,1300
52,31,60,1100
73,28,55,3700
10,47,78,2700
68,19,67,1500
36,29,71,500
102,33,65,3200
32,27,75,2000
82,51,65,1800
106,34,58,2200
85,50,51,2100
26,24,62,3400
75,11,74,2500
77,49,60,400
75,49,80,1200
23,47,52,200
57,40,62,2200
14,2,71,1500
90,13,56,4000
44,15,51,2100
25,15,65,400
51,34,72,2700
40,39,79,1300
72,2,56,3700
11,19,51,1300
20,13,67,3400
14,10,52,2900
60,33,74,1900
109,15,76,2200
85,29,66,2900
108,19,68,2600
101,46,70,3600
42,18,59,4000
101,49,51,2400
87,22,69,1700
47,21,67,4000
72,17,80,3900
64,23,56,2700
82,19,62,2400
58,8,63,1400
35,2,75,2800
99,36,68,4000
33,35,64,500
105,13,73,3400
26,19,57,0
83,28,66,3700
55,20,73,1200
75,5,55,200
23,31,77,1200
81,50,57,3200
38,26,80,100
27,38,56,2400
84,43,65,1000
74,25,75,2100
57,51,72,3500
52,17,52,100
100,33,66,1300
71,9,62,3300
39,11,63,3700
37,28,55,1000
74,44,73,200
34,3,78,1100
79,39,70,100
75,21,65,3200
101,7,74,200
46,25,65,100
51,18,58,2200
26,4,60,1100
58,31,50,2900
69,21,80,2100
106,49,76,800
108,32,52,4000
105,43,56,2200
16,19,73,1900
33,42,77,100
43,14,73,400
